"coart_time@1",00:05:18.838,318838,00:05:20.702,320702,00:00:01.864,1864,"five people sitting around"
"coart_time@1",00:05:35.342,335342,00:05:36.187,336187,00:00:00.845,845,"one sitting on a stool"
"coart_time@1",00:05:51.029,351029,00:05:51.386,351386,00:00:00.357,357,"this one"
"coart_time@1",00:06:27.276,387276,00:06:28.025,388025,00:00:00.749,749,"the picture"
"coart_time@1",00:07:14.134,434134,00:07:14.415,434415,00:00:00.281,281,"the baby"
"coart_time@1",00:07:14.644,434644,00:07:14.775,434775,00:00:00.131,131,"the kid"
"coart_time@1",00:09:08.304,548304,00:09:09.072,549072,00:00:00.768,768,"the woman"
"coart_time@1",00:09:09.438,549438,00:09:10.840,550840,00:00:01.402,1402,"she is crouched down on the ground"
"coart_time@1",00:12:07.902,727902,00:12:08.108,728108,00:00:00.206,206,"the guy"
"coart_time@1",00:13:00.841,780841,00:13:01.268,781268,00:00:00.427,427,"that one"
"coart_time@1",00:13:07.581,787581,00:13:07.737,787737,00:00:00.156,156,"he"
"coart_time@1",00:13:18.910,798910,00:13:20.141,800141,00:00:01.231,1231,"she has her mouth opened"
"coart_time@1",00:13:23.046,803046,00:13:23.744,803744,00:00:00.698,698,"cross"
"coart_time@1",00:13:26.410,806410,00:13:26.541,806541,00:00:00.131,131,"the child"
"coart_time@1",00:14:10.255,850255,00:14:10.341,850341,00:00:00.086,86,"they"
"coart_time@1",00:15:08.746,908746,00:15:09.786,909786,00:00:01.040,1040,"the child looks scared"
"coart_time@1",00:15:28.813,928813,00:15:29.717,929717,00:00:00.904,904,"going home"
"coart_time@1",00:15:31.424,931424,00:15:32.022,932022,00:00:00.598,598,"his son"
"coart_time@1",00:15:34.188,934188,00:15:34.529,934529,00:00:00.341,341,"wife"
"coart_time@1",00:15:40.964,940964,00:15:41.919,941919,00:00:00.955,955,"the son is running"
"coart_time@1",00:16:44.865,1004865,00:16:45.041,1005041,00:00:00.176,176,"they"
"coart_time@1",00:17:02.366,1022366,00:17:02.572,1022572,00:00:00.206,206,"that"
"coart_time@1",00:17:41.785,1061785,00:17:41.986,1061986,00:00:00.201,201,"yeah"
